,Description,scores_overall
ITMO University,"ITMO University (Russian: Университет ИТМО) is a state-supported university in Saint Petersburg and is one of Russia's National Research Universities. ITMO University is one of 15 Russian universities that were selected to participate in Russian Academic Excellence Project 5-100 by the government of the Russian Federation to improve their international standing among the world's research and educational centers. In 2022, the university was ranked #365 in the world by QS World University Rankings, and #601 by World University Rankings by Times Higher Education. In 2021, it was ranked #718 in the world by Best Global Universities Rankings by U.S. News & World Report, and #901 by Academic Ranking of World Universities by Shanghai Jiao Tong University. Research priorities of ITMO University are concentrated in information and photonic technologies. The university consists of four main schools, 14 faculties, and a number of institutes and research centers. As of 2020, the total number of students was over 12,500, with 2,450 being foreign nationals. In 2014, the university employed 1,163 instructors, including over 800 PhDs. Many of its staff members and researchers have received government awards and designations of “honored science worker,” the highest in Russia.Vladimir Vasilyev has been the university's Rector since 1996.",39.4
Middle East Technical University,"Middle East Technical University (commonly referred to as METU; in Turkish, Orta Doğu Teknik Üniversitesi, ODTÜ) is a public technical university located in Ankara, Turkey. The university emphasizes research and education in engineering and natural sciences, offering about 41 undergraduate programs within 5 faculties, 105 masters and 70 doctorate programs within 5 graduate schools. The main campus of METU spans an area of 11,100 acres (4,500 ha), comprising, in addition to academic and auxiliary facilities, a forest area of 7,500 acres (3,000 ha), and the natural Lake Eymir. METU has more than 120,000 alumni worldwide. The official language of instruction at METU is English. Over one third of the 1,000 highest scoring students in the national university entrance examination choose to enroll in METU; and most of its departments accept the top 0.1% of the nearly 3 million applicants. METU had the greatest share in national research funding by the Scientific and Technological Research Council of Turkey (TÜBİTAK) in the last five years, and it is the leading university in Turkey in terms of the number of European Union Framework Programme (FP) projects participation. Over 40% of METU's undergraduate alumni choose to pursue graduate studies.",50.05
Miguel Hernández University of Elche,"The Miguel Hernández University (UMH, Spanish: Universidad Miguel Hernández, Valencian: Universitat Miguel Hernández, Latin: Universitas Miguel Hernández illicitana), is a Spanish Public University, open to the world, offering education, research and services facilitating the comprehensive development of its students. It is located in the province of Alicante and was established in 1996. Its name is meant to commemorate the Spanish poet Miguel Hernández. The UMH offers bachelor's degrees, Master's and PhD programs adapted to the European Higher Education Area in the fields of the arts, experimental and technical sciences, engineering, and health and social sciences at its four university campuses (Elche -main administration offices-, Altea, Orihuela and Sant Joan d'Alacant).",30.450000000000003
Nankai University,"Nankai University (NKU or Nankai; simplified Chinese: 南开大学; traditional Chinese: 南開大學; pinyin: Nánkāi Dàxué) is a national public research university located in Tianjin, China. It is a prestigious Chinese state Class A Double First Class University approved by the central government of China, and a member of the former project 985 and project 211 group of universities. It was founded in 1919, by educators Yan Xiu and Zhang Boling. During the Sino-Japanese War (1937–1945), Nankai University, Peking University and Tsinghua University merged and formed the National Changsha Provisional University, which later moved to Kunming and was renamed the National Southwestern Associated University (西南联大). On December 25, 2000, the State Ministry of Education signed an agreement with Tianjin Municipal Government to jointly establish and develop Nankai University. Since then, Nankai has been listed among the universities to receive priority development investments from the Chinese government in the twenty-first century. Nankai has long been recognized as one of the most prestigious universities in China, constantly ranked among various top 10 lists of Chinese Universities. As a comprehensive university with a wide range of disciplines, Nankai features a balance between the humanities and the sciences, a solid foundation and a combination of application and creativity. The university has 26 academic colleges, together with the Graduate School, the School for Continuing Education, the Advanced Vocational School, the Modern Distance Education School, and categories covering literature, history, philosophy, economics, management, law, science, engineering, agriculture, medicine, teaching and art. The university is especially well known for its economics, history, chemistry, and mathematics research and study. Nankai's alumni include the first Premier of the People's Republic of China Zhou Enlai, mathematician Shiing-Shen Chern and Nobel laureates Chen Ning Yang and Tsung-Dao Lee.",54.45
Selçuk University,"Selçuk University (Turkish: Selçuk Üniversitesi) is a state-owned higher educational institution which was founded 1975 in Konya, Turkey.",25.5
Shahjalal University of Science and Technology,"Shahjalal University of Science and Technology (SUST) is a public research based university in Sylhet, Bangladesh. It is the 8th oldest university of the country and the first university to adopt American credit system. The university is known for its pioneering research and education in the physical sciences and engineering. In 2016, SUST ranked as the top research university in Bangladesh (610th in the world) by Scopus-SCImago institution ranking. In 2017, the university had highest research expenditure among all universities in Bangladesh. Following the success of SUST, twelve more STEM universities have been established in the country by the Government of Bangladesh.",25.5
South Valley University,"South Valley University (SVU) is in Egypt and provides teaching and research facilities. The President of South Valley University is Prof. Dr. Youssuf Gherbawy. One of the country’s more modern higher education institutions, Egypt’s South Valley University has 16 faculties split between its two campuses in Qena and Hurghada. Initially a branch of Assiut University, SVU was established in 1995. Qena is a large market town on the River Nile situated next to the famous Greco-Roman temples of Dendera. Also on the Nile, Luxor is a long-time tourist hotspot that in large part attracts hundreds of thousands of visitors because of its temples, tombs and location on the site of the ancient capital of Thebes. Ancient Thebes is now a UNESCO World Heritage site. It has a second campus in the coastal city of Hurghada, just south of where the Gulf of Suez meets the Red Sea. Hurghada is home to the Faculty of Education. SVU has placed strongly among similar universities in the country in national rankings. Tuition fees are low for domestic and international students alike. More than a quarter of its students are postgraduates. Other faculties include Arts, Law, Science, Special Education, Medicine, Veterinary Medicine, Nursing, Engineering, Commerce, Agriculture and Physical Education. SVU previously owned a campus in the city of Sohag further upstream, but this became a separate institution, Sohag University, in 2006. SVU’s Faculties of Education, Engineering, Arts, Science and Social Work had a presence here.",25.5
University of Bergen,"The University of Bergen (Norwegian: Universitetet i Bergen, Urban East Norwegian: [ʉnɪvæʂɪˈtèːtə ɪ ˈbæ̀rɡn̩]) is a research-intensive state university located in Bergen, Norway. As of 2019, the university has over 4,000 employees and 18,000 students. It was established by an act of parliament in 1946 based on several older scientific institutions dating back to 1825, and is Norway's second oldest university. It is considered one of Norway's four ""established universities"" and has faculties and programmes in all the fields of a classical university including fields that are traditionally reserved by law for established universities, including medicine and law. It is also one of Norway's leading universities in many natural sciences, including marine research and climate research. It is consistently ranked in the top one percentage among the world's universities, usually among the best 200 universities and among the best 10 or 50 universities worldwide in some fields such as earth and marine sciences. It is part of the Coimbra Group and of the U5 group of Norway's oldest and highest ranked universities.",54.45
Sohag University,"Sohag University (Arabic: جامعة سوهاج) is a public university in Egypt. It is located in Sohag, on the eastern bank of the Nile.",25.5
"University of Technology, Iraq","The University of Technology, Iraq is one of Iraq's largest universities. It is situated in the city of Baghdad, Iraq. The university is specialized in Engineering, Computer Sciences, and Applied Sciences and Technologies. It was founded in 1975.",34.8
Bharath Institute of Higher Education and Research,"Bharath Institute of Higher Education and Research (BIHER) also known as Bharath Institute of Science and Technology (BIST), informally Bharath University, and formerly Bharath Engineering College is a private and deemed university and an Indian institute of higher education located in Chennai, the capital of Tamil Nadu, India. It is recognised by the University Grants Commission (UGC) and is accredited by the National Assessment and Accreditation Council (NAAC) with the highest grade of A. It is also approved by the All India Council for Technical Education (AICTE).",16.2
Universidade Lusófona,"Universidade Lusófona de Humanidades e Tecnologias (Lusophone University of Humanities and Technologies) is the largest Portuguese private university, and the main institution of Grupo Lusófona, which administers other universities and colleges in Portugal, Brazil, Cape Verde, Angola, Guinea-Bissau and Mozambique. Indeed, promotion of Lusophony (the speaking of Portuguese) is seen as a major objective of the institution; students from former Portuguese African colonies pay substantially reduced fees.",25.5
Toho University,"Toho University (東邦大学, Tōhō Daigaku) is a university in Ōta, Tokyo, Japan.",25.5
Ajou University,"Ajou University (Korean: 아주대학교; Hanja: 亞洲大學校; lit. the Asian University) is a private research university located in Suwon, Gyeonggi Province, South Korea. It was founded in 1973 by an agreement between the French and Korean governments. Ajou University started as Ajou Engineering Junior College with the aim of exchanging technology and culture through education between France and South Korea. The name Ajou University contains the ideology of becoming the center of Asia in the 21st century, when Asia becomes the center of the world, and represents the Gyeonggi-do region. Ajou is located on a single campus with all details, research-oriented university hospitals, Techno Valley, Samsung Electronics headquarters, CJ Blossom Park, administrative town (Gyeonggi Provincial Office, Gyeonggi Provincial Council, Education Office, Gyeonggi Representative Library), and legal town (Suwon High Court, Suwon High Prosecutor's Office). Gyeonggi-do Province, administrative towns, legal towns and pharmacies have signed MOUs with Ajou. Its business college is the only one in Korea that was authorized to host a financial engineering department as part of the world-class research-oriented university project of the Korean Ministry of Education and held a recruitment briefing session for the International Financial Organization. Its business college is a member of both the AACSB and EFMD certification bodies. The e-business department signed an education agreement with SAP Korea. Its information and communication technology college of information has signed an agreement with the Republic of Korea Air Force and established a Department of Defense Digital Convergence to train high-ranking Air Force ICT technology officers. Ajou University Hospital, an affiliated hospital of the medical school and a base hospital in Gyeonggi-do, is opening Ajou University Intermediate Care Hospital, Ajou University Pyeongtaek Hospital, Ajou University Paju Hospital. It received a hospital brand fee from Jiya Yoon Hospital in China and is preparing to enter China. Ajou is striving for research development and has targeted the world's top 100 universities in the long run. As a university in Asia, which is a latecomer, it is working hard to commercialize technology and aims to achieve 20 billion won per year in profits by 2028. It will also operate self-driving electric vehicles on campus until 2024. In 2020, Ajou established its branch campus in Tashkent, Uzbekistan in which concentrates on its strong engineering programs. The Department of Space Electronics Information Engineering is studying satellite information and communication technology.",43.599999999999994
American University in Cairo,"The American University in Cairo (AUC; Arabic: الجامعة الأمريكية بالقاهرة, romanized: Al-Jāmi‘a al-’Amrīkiyya bi-l-Qāhira) is a private research university in Cairo, Egypt. The university offers American-style learning programs at undergraduate, graduate, and professional levels, along with a continuing education program. The AUC student body represents over 50 countries. AUC's faculty members, adjunct teaching staff and visiting lecturers are internationally diverse and include academics, business professionals, diplomats, journalists, writers and others from the United States, Egypt and other countries. AUC holds institutional accreditation from the Middle States Commission on Higher Education in the United States and from Egypt's National Authority for Quality Assurance and Assessment of Education.",34.8
Amrita Vishwa Vidyapeetham,"Amrita Vishwa Vidyapeetham (or Amrita University) is a private deemed university based in Coimbatore, India. It currently has 7 campuses with 16 constituent schools across the Indian states of Tamil Nadu, Kerala, Andhra Pradesh and Karnataka with the headquarters at Ettimadai, Coimbatore, Tamil Nadu. It offers a total of 207 undergraduate, postgraduate, integrated-degree, dual-degree, doctoral programs in engineering and technology, medicine, business, arts and culture, sciences, biotechnology, agricultural sciences, allied health sciences, Ayurveda, dentistry, pharmacy, nursing, nano-sciences, commerce, humanities and social sciences, law, literature, spiritual studies, philosophy, education, sustainable development, mass communication and social work.",34.8
German University in Cairo,"The German University in Cairo (abbreviated to GUC; Arabic: الجامعة الألمانية بالقاهرة El Gam‘a El Almāniya Bel Qāhira) is a private non-profit university in New Cairo, Egypt. GUC was founded in 2002 by the presidential decree 27/2002 and according to the Egyptian law number 101/1992. The University of Stuttgart, the University of Ulm, the University of Tübingen, the University of Mannheim, the Academy of Fine Arts Leipzig, the German Academic Exchange Service (DAAD), the State of Baden-Württemberg, Germany, and the Federal Ministry of Education and Research, Germany, are among the main academic supporters of the GUC. GUC offers more than 70 study programs leading to the degrees of B.Sc., M.Sc. and Ph.D. according to the Bologna Process. The language of instruction is English. The study programs are designed according to German standards and are accredited in Egypt and Germany (by ACQUIN). Far more than 10,000 students are enrolled at GUC, which has become the largest transnational education institute from the German perspective. GUC is located in the Southeast of Cairo. The campus of 577.000 m² includes various sports facilities, an industry park, a solar park as well as state-of-the-art laboratories for the integration of education, research and application. GUC also operates a guesthouse in Ulm and a campus in Berlin as well as multiple student support offices in Germany with the aim of fostering the mobility of students, researchers and instructors to Germany.",16.2
Hindustan Institute of Technology and Science,"Hindustan Institute of Technology and Science (HITS), formerly Hindustan College of Engineering, is a deemed-to-be-university headquartered in Chennai, India. It was founded in 1985 by K.C.G. Verghese and was conferred the ""University Status"" status from the University Grants Commission Under Section 3 of UGC Act 1956 from the academic year 2008-09 and under the name HITS (Hindustan Institute of Technology and Science). It is a member of the Hindustan Group of Institutions which also includes the Hindustan Institute of Engineering Technology, KCG College of Technology, Hindustan College of Arts and Science and more.",16.2
The British University in Egypt,"The British University in Egypt (BUE) is a private Egyptian university in Al Shorouk City, Cairo, Egypt. Founded in September 2005, through an inter governmental agreement, the university provides a British style of education and awards degrees validated by its partner UK universities and the Egyptian Supreme Council of Universities. Located some 30 km (19 mi) from downtown Cairo, the campus covers approximately 40 acres (16 ha) (feddans) of land with some 27,000 m2 (290,000 sq ft) of space of modern purpose-built teaching facilities.According to the Center for World university ranking(CWUR), the BUE was ranked in 2020 among the top 10 universities in Egypt.",25.5
Kalasalingam Academy of Research and Education,"Kalasalingam Academy of Research and Education (KARE), formerly Arulmigu Kalasalingam College of Engineering and Kalasalingam University, is a private deemed to be university located in Krishnankoil near Rajapalayam in Tamil Nadu, India. The campus is close to the ancient temple town of Srivilliputhur.",34.8
0,"The University of Chicago (UChicago, Chicago, U of C, or UChi) is a private research university in Chicago, Illinois. Its main campus is located in Chicago's Hyde Park neighborhood. The University of Chicago is consistently ranked among the best universities in the world and it is among the most selective in the United States. The university is composed of an undergraduate college and five graduate research divisions, which contain all of the university's graduate programs and interdisciplinary committees. Chicago has eight professional schools: the Law School, the Booth School of Business, the Pritzker School of Medicine, the Crown Family School of Social Work, Policy, and Practice, the Harris School of Public Policy, the Divinity School, the Graham School of Continuing Liberal and Professional Studies, and the Pritzker School of Molecular Engineering. The university has additional campuses and centers in London, Paris, Beijing, Delhi, and Hong Kong, as well as in downtown Chicago. University of Chicago scholars have played a major role in the development of many academic disciplines, including economics, law, literary criticism, mathematics, physics, religion, sociology, and political science, establishing the Chicago schools in various fields. Chicago's Metallurgical Laboratory produced the world's first man-made, self-sustaining nuclear reaction in Chicago Pile-1 beneath the viewing stands of the university's Stagg Field. Advances in chemistry led to the ""radiocarbon revolution"" in the carbon-14 dating of ancient life and objects. The university research efforts include administration of Fermi National Accelerator Laboratory and Argonne National Laboratory, as well as the Marine Biological Laboratory. The university is also home to the University of Chicago Press, the largest university press in the United States. The University of Chicago's students, faculty, and staff include 97 Nobel laureates, among the highest of any university in the world. The university's faculty members and alumni also include 10 Fields Medalists, 4 Turing Award winners, 52 MacArthur Fellows, 26 Marshall Scholars, 53 Rhodes Scholars, 27 Pulitzer Prize winners, 20 National Humanities Medalists, 29 living billionaire graduates, and eight Olympic medalists.",92.1
1,The University of Aden is the first Yemeni university beside Sana'a university at the same year founded in the Republic of Yemen.,88.6
2,"Heidelberg University, officially the Ruprecht Karl University of Heidelberg, (German: Ruprecht-Karls-Universität Heidelberg; Latin: Universitas Ruperto Carola Heidelbergensis) is a public research university in Heidelberg, Baden-Württemberg, Germany. Founded in 1386 on instruction of Pope Urban VI, Heidelberg is Germany's oldest university and one of the world's oldest surviving universities. It was the third university established in the Holy Roman Empire. Heidelberg has been a coeducational institution since 1899. The university consists of twelve faculties and offers degree programmes at undergraduate, graduate and postdoctoral levels in some 100 disciplines. Heidelberg comprises three major campuses: the humanities are predominantly located in Heidelberg's Old Town, the natural sciences and medicine in the Neuenheimer Feld quarter, and the social sciences within the inner-city suburb Bergheim. The language of instruction is usually German, while a considerable number of graduate degrees are offered in English as well as some in French. As of 2021, 57 Nobel Prize winners have been affiliated with the city of Heidelberg and 33 with the university itself. Modern scientific psychiatry, psychopharmacology, psychiatric genetics, environmental physics, and modern sociology were introduced as scientific disciplines by Heidelberg faculty. Approximately 1,000 doctorates are completed every year, with more than one third of the doctoral students coming from abroad. International students from some 130 countries account for more than 20 percent of the entire student body. Heidelberg is a German Excellence University, part of the U15, as well as a founding member of the League of European Research Universities and the Coimbra Group. The university's noted alumni include eleven domestic and foreign heads of state or heads of government. In international comparison Heidelberg University occupies top positions in rankings and enjoys a high academic reputation.",76.7
3,"Paris-Saclay University (French: Université Paris-Saclay) is a public research university based in Paris, France. It is one of the 13 prestigious universities that emerged from the division of the University of Paris, also known as the Sorbonne. Paris-Saclay is ranked 1st in France and 13th in the world in the Academic Ranking of World Universities (ARWU) ranking. In subject rankings, it is placed 1st in the world for Mathematics and 9th in the world for Physics, as well as being in the top 15 for Medicine and Agriculture. It is part of the Paris-Saclay project, which is a research-intensive academic campus, and is the main center for training and research within the technology cluster of Paris-Saclay. The University integrates several leading grandes écoles, faculties, colleges and research centers that are part of the world's top research organizations in various fields. Paris-Saclay has achieved particular renown in mathematics. As of 2021, 11 Fields Medalists have been affiliated with the university and its associated research institutes, which include the Institut des Hautes Études Scientifiques – generally regarded as the birthplace of modern algebraic geometry and catastrophe theory.",74.4
4,"The University of Sydney (USYD), also known as Sydney University, or informally Sydney Uni, is a public research university located in Sydney, Australia. Founded in 1850, it is the oldest university in Australia and is one of the country's six sandstone universities. The university comprises eight academic faculties and university schools, through which it offers bachelor, master and doctoral degrees. The university consistently ranks highly both nationally and internationally. QS World University Rankings ranked the university top 40 in the world. The university is also ranked first in Australia and fourth in the world for QS graduate employability. It is one of the first universities in the world to admit students solely on academic merit, and opened their doors to women on the same basis as men. Five Nobel and two Crafoord laureates have been affiliated with the university as graduates and faculty. The university has educated eight Australian prime ministers, including incumbent Anthony Albanese; two governors-general of Australia; thirteen premiers of New South Wales, including incumbent Dominic Perrottet; 20 justices of the High Court of Australia, including four chief justices. The university has produced 110 Rhodes Scholars and 19 Gates Scholars. The University of Sydney is a member of the Group of Eight, CEMS, the Association of Pacific Rim Universities and the Association of Commonwealth Universities.",73.8
5,"The Hong Kong University of Science and Technology (HKUST) is a public research university in Clear Water Bay Peninsula, New Territories, Hong Kong. Founded in 1991 by the British Hong Kong Government, it was the territory's third institution to be granted university status. HKUST is commonly regarded as one of the fastest growing universities in the world. In 2019, the university was ranked seventh in Asia by QS and third by The Times, and around top 40 internationally. It was ranked 27th in the world and second in Hong Kong by QS 2021. It also ranked first in Times Higher Education Young University Rankings in 2019 and second by QS world's under-50 universities in 2020. Today, the university consists of four main academic schools, offering programmes in science, engineering, business and management, humanities and social science, along with the Interdisciplinary Programmes Office, HKUST Fok Ying Tung Graduate School / Guangzhou HKUST Fok Ying Tung Research Institute, HKUST Jockey Club Institute for Advanced Study and HKUST Institute for Public Policy.",73.0
6,"The University of Queensland (UQ, or Queensland University) is a public research university located primarily in Brisbane, the capital city of the Australian state of Queensland. Founded in 1909 by the Queensland parliament, UQ is one of the six sandstone universities, an informal designation of the oldest university in each state.The University of Queensland was ranked second nationally by the Australian Research Council in 2018 and third in Australia based on the average of four major global university league tables.The University of Queensland is a founding member of edX, Australia's leading Group of Eight and the international research-intensive Association of Pacific Rim Universities. The main occupies much of the riverside inner suburb of St Lucia, southwest of the Brisbane central business district. Other UQ campuses and facilities are located throughout Queensland, the largest of which are the Gatton campus and the Mayne Medical School. UQ's overseas establishments include UQ North America office in Washington D.C., and the UQ-Ochsner Clinical School in Louisiana, United States. The university offers associate, bachelor, master, doctoral, and higher doctorate degrees through a college, a graduate school, and six faculties. UQ incorporates over one hundred research institutes and centres offering research programs, such as the Institute for Molecular Bioscience, Boeing Research and Technology Australia Centre, the Australian Institute for Bioengineering and Nanotechnology, and the UQ Dow Centre for Sustainable Engineering Innovation. Recent notable research of the university include pioneering the invention of the HPV vaccine that prevents cervical cancer, developing a COVID-19 vaccine that was in human trials, and the development of high-performance superconducting MRI magnets for portable scanning of human limbs. UQ counts two Nobel laureates (Peter C. Doherty and John Harsanyi), over a hundred Olympians winning numerous gold medals, and 117 Rhodes Scholars among its alumni and former staff. UQ's alumni also include University of California, San Francisco Chancellor Sam Hawgood, the first female Governor-General of Australia Dame Quentin Bryce, former President of King's College London Ed Byrne, member of United Kingdom's Prime Minister Council for Science and Technology Max Lu, Oscar and Emmy awards winner Geoffrey Rush, triple Grammy Award winner Tim Munro, former CEO and Chairman of Dow Chemical Andrew N. Liveris, and current director of multiple organisations including IBM.",72.0
7,"The Hong Kong Polytechnic University (PolyU) is a public research university located in Hung Hom, Hong Kong near Hung Hom station. The University is one of the eight government-funded degree-granting tertiary institutions in Hong Kong. Founded in 1937 as the first Government Trade School, it is the first institution to provide technical education in Hong Kong. In 1994, the Legislative Council of Hong Kong passed a bill which granted the former Hong Kong Polytechnic official university status. PolyU consists of 8 faculties and schools, offering programmes covering applied science, business, construction, environment, engineering, social science, health, humanities, design, hotel and tourism management. The university offers over 160 taught programmes for more than 25,800 students every year. It is the largest public tertiary institution in terms of number of students. As of 2022-23, PolyU ranks 79th worldwide by THE, 65th internationally by QS, 100th in US News and 151~200th in ARWU globally. PolyU is among the global top 10 young universities as ranked by THE and QS.",68.2
8,"The University of Western Australia (UWA) is a public research university in the Australian state of Western Australia. The university's main campus is in Perth, the state capital, with a secondary campus in Albany and various other facilities elsewhere.UWA was established in 1911 by an act of the Parliament of Western Australia and began teaching students two years later. It is the sixth-oldest university in Australia and was Western Australia's only university until the establishment of Murdoch University in 1973. Because of its age and reputation, UWA is classed one of the ""sandstone universities"", an informal designation given to the oldest university in each state. The university also belongs to several more formal groupings, including the Group of Eight and the Matariki Network of Universities. In recent years, UWA has generally been ranked either in the bottom half or just outside the world's top 100 universities, depending on the system used.Another defining characteristic of UWA is that it has retained its Convocation as an integral part of its governance structure. All graduates of UWA are automatically life-long members of the University through Convocation which grants them the right to attend the Annual General Meetings, to elect two members of the UWA Senate and to review any changes to University legislation. Graduates of UWA include one Prime Minister of Australia (Bob Hawke), five Justices of the High Court of Australia (including one Chief Justice, Robert French, now Chancellor), one Governor of the Reserve Bank (H. C. Coombs), various federal cabinet ministers, and seven of Western Australia's eight most recent premiers. In 2018 alumnus mathematician Akshay Venkatesh was a recipient of the Fields Medal. As of 2021, the university had produced 106 Rhodes Scholars. Two members of the UWA faculty, Barry Marshall and Robin Warren won Nobel Prizes as a result of research at the university.",62.7
9,"The Université catholique de Louvain (also known as the Catholic University of Louvain, the English translation of its French name, and the University of Louvain, its official English name) is Belgium's largest French-speaking university. It is located in Louvain-la-Neuve, which was expressly built to house the university, and Brussels, Charleroi, Mons, Tournai and Namur. Since September 2018, the university has used the branding UCLouvain, replacing the acronym UCL, following a merger with Saint-Louis University, Brussels. The original University of Louvain (Universitas Lovaniensis) was founded at the centre of the historic town of Leuven (or Louvain) in 1425, and abolished by the law in 1797 making it the first university in Belgium and the Low Countries. This university was the centre of Baianism, Jansenism and Febronianism in Europe. A new university, the State University of Louvain, was founded in 1817 and abolished by the law in 1835. A new catholic university was founded in Mechlin in 1834, the Catholic University of Mechlin and moved in Leuven in 1835 that is frequently, but controversially, identified as a continuation of the older institution. In 1968 the Catholic University of Leuven split into the Dutch-language Katholieke Universiteit Leuven, which stayed in Leuven, and the French-language Université catholique de Louvain, which moved to Louvain-la-Neuve in Wallonia, 30 km southeast of Brussels. Since the 15th century, Leuven/Louvain, as it is still often called, has been a major contributor to the development of Catholic theology. The UCLouvain is often ranked among the world's top 50 institutions for the study of philosophy and top 20 institutions for theology and religious studies.",60.8
10,"Ulm University (German: Universität Ulm) is a public university in Ulm, Baden-Württemberg, Germany. The university was founded in 1967 and focuses on natural sciences, medicine, engineering sciences, mathematics, economics and computer science. With 9,891 students (summer semester 2018), it is one of the youngest public universities in Germany. The campus of the university is located north of the city on a hill called Oberer Eselsberg, while the university hospital has additional sites across the city.",59.0
11,"The Université Grenoble Alpes (UGA, French: meaning ""Grenoble Alps University"") is a public research university in Grenoble, France. Founded in 1339, it is the third largest university in France with about 60,000 students and over 3,000 researchers. Established as the University of Grenoble by Humbert II of Viennois, it split in 1970 following the wide-spread civil unrest of May 1968. Three of the University of Grenoble's successors—Joseph Fourier University, Pierre Mendès-France University, and Stendhal University—merged in 2016 to restore the original institution under the name Université Grenoble Alpes. In 2020, the Grenoble Institute of Technology, the Grenoble Institute of Political Studies, and the Grenoble School of Architecture also merged with the original university. The university is organized around two closely located urban campuses: Domaine Universitaire, which straddles Saint-Martin-d'Hères and Gières, and Campus GIANT in Grenoble. UGA also owns and operates facilities in Valence, Chambéry, Les Houches, Villar-d'Arêne, Mirabel, Échirolles, and La Tronche. The city of Grenoble is one of the largest scientific centers in Europe, hosting facilities of every existing public research institution in France. This enables UGA to have hundreds of research and teaching partnerships, including close collaboration with the French National Centre for Scientific Research (CNRS) and the French Alternative Energies and Atomic Energy Commission (CEA). After Paris, Grenoble as a city is the largest research center in France with 22,800 researchers. In April 2019, UGA was selected to host one of the four French institutes in artificial intelligence. UGA is traditionally known for its research and education in the natural sciences and engineering, but also law, institutional economics, linguistics, and psychology. It has been cited among the best and most innovative universities in Europe. It is also renowned for its academic research in the humanities and political sciences, hosting some of the largest research centers in France in the fields of political science, urban planning and the sociology of organizations.",52.05
12,"The University of Montpellier (French: Université de Montpellier) is a public research university located in Montpellier, in south-east of France. Established in 1220, the University of Montpellier is one of the oldest universities in the world. The university was split into three universities (the University of Montpellier 1, the University of Montpellier 2 and the Paul Valéry University Montpellier 3) for 45 years from 1970 until 2015 when it was subsequently reunified by the merger of the two former, with the latter, now named Paul Valéry University, Montpellier III remaining a separate entity.",52.05
13,"The University of St. Gallen (HSG) is an elite public research university located in St. Gallen, Switzerland that specialises in business administration, economics, law, and international affairs. Established in 1898, it consistently ranks among the best business schools in the world and counts as the top one in the German speaking world. In 2020, it had 9,047 students, of which 3,443 were master's students and 617 doctoral students. Although one of Switzerland's smallest universities, HSG has Switzerland's largest faculty for business administration. It is a member of the CEMS and APSIA and is EQUIS, AACSB and AMBA accredited (triple crown). Its campus is listed as a Swiss heritage site of national significance.",50.05
14,"Brescia University is a private Roman Catholic university in Owensboro, Kentucky. It was founded as a junior college for women and is now a coeducational university offering undergraduate and master's programs.",47.2
15,"The Johannes Kepler University Linz (German: Johannes Kepler Universität Linz, short: JKU) is a public institution of higher education in Austria. It is located in Linz, the capital of Upper Austria. It offers bachelor's, master's, diploma and doctoral degrees in business, engineering, law, science, social sciences and medicine. Today, 19,930 students study at the park campus in the northeast of Linz, with one out of nine students being from abroad. The university was the first in Austria to introduce an electronic student ID in 1998. The university is the home of the Johann Radon Institute for Computational and Applied Mathematics (RICAM) of the Austrian Academy of Sciences. In 2012, the Times Higher Education ranked the JKU at # 41 and in 2015 at # 87 in its list of the top 100 universities under 50 years old. According to the 2012 ranking, the JKU was the fifth best young university in German-speaking Europe. The university attained high scores for quotations, third-party funding, and internationalization efforts.",47.2
16,"The University of Nantes (French: Université de Nantes) is a public university located in the city of Nantes, France. In addition to the several campuses scattered in the city of Nantes, there are two satellite campuses located in Saint-Nazaire and La Roche-sur-Yon. The university ranked between 401-500th in the Times Higher Education of 2016. On a national scale and regarding the professional insertion after graduation, the University of Nantes oscillates between 3rd and 40th out of 69 universities depending on the field of studies. Currently, the university is attended by approximately 34,500 students. More than 10% of them are international students coming from 110 countries. Notable alumni include former Prime Minister Jean-Marc Ayrault, former Minister of Agriculture Stéphane Le Foll, and United Nations official Clément Nyaletsossi Voule.",43.599999999999994
17,"NOVA University Lisbon (Portuguese: Universidade NOVA de Lisboa, pronounced [univɨɾsiˈðað(ɨ) ˈnɔvɐ ðɨ liʒˈβo.ɐ]), or just NOVA, is a Portuguese public university whose rectorate is located in Campolide, Lisbon. Founded in 1973, it is the newest of the public universities in the Portuguese capital city, earning its name as the ""New"" (NOVA) University of Lisbon. The institution has more than 20,000 students, 1,800 professors and staff members distributed through five faculties, three institutes and one school, providing a variety of courses in several fields of knowledge.",43.599999999999994
18,"University of Rovira i Virgili (Catalan: Universitat Rovira i Virgili; IPA: [uniβəɾsiˈtad ruˈβiɾə j βiɾˈʒili], Spanish: Universidad Rovira y Virgili; URV) is located in the Catalan cities of Tarragona and Reus, Spain. Its name is in honour of Antoni Rovira i Virgili. The University of Rovira I Virgili (URV) is a nationally and internationally recognized teaching and research institution with centers in Tarragona, Reus, Vila-Seca, Tortosa, and El Vendrell. In 2018 and 2019 it was ranked the 78th World's Best Young University with less than 50 years (Times Higher Education World University Rankings). In 2020 it was ranked within the top 200 world's universities by the Times Higher Education 2020 ranking, which recognizes universities for their socials and economic impact based on 17 United Nations Sustainable Development Goals. At Spanish level, in 2017 URV was ranked the 4th in publication production by faculty number, and the 7th with Highly Cited Papers by faculty number. In 2014 URV obtained the HR Excellence in Research award by the EC, renewed in 2017. URV offers doctoral studies distributed in 24 programs and annually welcomes 11400 undergraduate, 1300 master and 1200 PhD students.",43.599999999999994
